Division,MatchDate,MatchTime,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,Over25,Under25,MaxOver25,MaxUnder25,HandiSize,HandiHome,HandiAway,MatchDateDate,HomeTeam_clean,AwayTeam_clean,xG_Home,xG_Away,HomeInjuries,AwayInjuries
E0,26/02/2025,19:30:00,Tottenham,Man City,1785.53,1926.48,9,9,3,9,0,1,A,0,1,A,11,12,6,5,12,15,8,3,3,0,0,0,3.22,4.09,2.04,3.35,4.25,2.1,1.34,3.29,1.37,3.4,0.5,1.84,2.06,26/02/2025,tottenham,mancity,,,0,0
E0,26/02/2025,20:15:00,Liverpool,Newcastle,1995.58,1826.18,7,11,3,6,2,0,H,1,0,H,12,3,3,0,12,11,4,2,0,1,0,0,1.52,4.77,5.64,1.54,5,6.1,1.44,2.79,1.48,2.95,-1,1.75,2.05,26/02/2025,liverpool,newcastle,,,0,0
E0,25/02/2025,19:30:00,Crystal Palace,Aston Villa,1780.71,1793.17,6,9,5,6,4,1,H,1,0,H,19,6,6,2,19,10,3,8,3,1,0,0,2.55,3.38,2.83,2.61,3.45,2.91,1.9,1.95,1.94,2.02,0,1.84,2.09,25/02/2025,crystalpalace,astonvilla,,,0,0
E0,23/02/2025,16:30:00,Man City,Liverpool,1926.48,1995.58,6,10,5,11,0,2,A,0,2,A,16,8,5,4,3,10,7,5,0,0,0,0,2.9,3.86,2.26,3,3.97,2.3,1.41,2.89,1.44,3.02,0.3,1.9,2,23/02/2025,mancity,liverpool,,,0,0
E0,22/02/2025,17:30:00,Aston Villa,Chelsea,1793.17,1842.71,2,4,3,7,2,1,H,0,1,A,12,15,6,7,15,16,2,3,1,3,0,0,2.62,3.7,2.56,2.67,3.84,2.63,1.56,2.45,1.58,2.55,0,1.98,1.92,22/02/2025,astonvilla,chelsea,,,0,0
E0,22/02/2025,15:00:00,Arsenal,West Ham,1999.49,1721.72,9,13,1,4,0,1,A,0,1,A,20,5,2,2,16,15,2,0,1,3,1,0,1.25,6.2,11.63,1.27,6.7,13,1.68,2.22,1.8,2.29,-1.8,2.05,1.85,22/02/2025,arsenal,westham,,,0,0
SP1,8/02/2025,20:00:00,Real Madrid,Ath Madrid,1964.78,1862.33,6,12,4,10,1,1,D,0,1,A,23,10,9,1,14,13,6,1,0,0,0,0,1.88,3.68,4.13,1.93,3.87,4.35,1.79,2.04,1.85,2.13,-0.5,1.9,2,8/02/2025,realmadrid,athmadrid,,,0,0
E0,25/01/2025,17:30:00,Man City,Chelsea,1940.29,1859.11,7,11,5,5,3,1,H,1,1,D,15,10,6,4,6,8,2,4,3,2,0,0,2.03,4.03,3.29,2.08,4.22,3.4,1.41,2.88,1.43,3,-0.5,2.06,1.84,25/01/2025,mancity,chelsea,,,0,0
SP1,21/10/2000,,Barcelona,Real Madrid,1863.43,1905.97,6,9,7,11,2,0,H,1,0,H,,,,,,,,,,,,,,,,,,2.05,3.1,3.3,,,,,,21/10/2000,barcelona,realmadrid,,,0,0
I1,3/12/2000,,Inter,Juventus,1743.83,1804.77,4,8,5,8,2,2,D,1,2,A,,,,,,,,,,,,,,,,,,2.35,2.8,3,,,,,,3/12/2000,inter,juventus,,,0,0
